"","breakfast","tea.time","evening","lunch","dinner","always","home","work","tearoom","friends","resto","pub","Tea","How","sugar","how","where","price","age","sex","SPC","Sport","age_Q","frequency","escape.exoticism","spirituality","healthy","diuretic","friendliness","iron.absorption","feminine","sophisticated","slimming","exciting","relaxing","effect.on.health"
"69","breakfast","tea time","Not.evening","lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","Not.resto","pub","Earl Grey","lemon","No.sugar","tea bag","chain store","p_variable",22,"F","student","sportsman","15-24","1/day","escape-exoticism","spirituality","Not.healthy","diuretic","friendliness","Not.iron absorption","feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","effect on health"
"70","Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","pub","Earl Grey","alone","sugar","tea bag","chain store","p_branded",36,"F","employee","sportsman","35-44","1/day","escape-exoticism","Not.spirituality","Not.healthy","Not.diuretic","friendliness","iron absorption","feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"71","Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","sugar","tea bag","chain store","p_variable",19,"M","student","Not.sportsman","15-24","1 to 2/week","Not.escape-exoticism","spirituality","Not.healthy","Not.diuretic","Not.friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"72","breakfast","tea time","evening","lunch","Not.dinner","always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","milk","sugar","tea bag+unpackaged","chain store+tea shop","p_variable",24,"M","employee","sportsman","15-24","+2/day","escape-exoticism","spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","exciting","relaxing","No.effect on health"
"73","Not.breakfast","Not.tea time","evening","lunch","Not.dinner","always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","milk","sugar","tea bag","chain store","p_variable",22,"M","student","sportsman","15-24","1 to 2/week","escape-exoticism","spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"74","Not.breakfast","Not.tea time","evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","lemon","sugar","unpackaged","tea shop","p_upscale",28,"M","middle","sportsman","25-34","1/day","Not.escape-exoticism","spirituality","Not.healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","exciting","No.relaxing","No.effect on health"
"75","breakfast","tea time","evening","lunch","Not.dinner","always","home","work","tearoom","friends","resto","pub","black","milk","sugar","tea bag","chain store","p_private label",18,"M","student","sportsman","15-24","+2/day","Not.escape-exoticism","Not.spirituality","healthy","Not.diuretic","Not.friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"76","breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","milk","sugar","tea bag","chain store","p_branded",34,"F","middle","sportsman","25-34","1/day","escape-exoticism","Not.spirituality","Not.healthy","Not.diuretic","Not.friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","No.exciting","No.relaxing","effect on health"
"77","Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_branded",51,"F","employee","sportsman","45-59","1/day","Not.escape-exoticism","Not.spirituality","Not.healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","No.relaxing","effect on health"
"78","breakfast","tea time","Not.evening","lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","milk","No.sugar","tea bag+unpackaged","chain store","p_branded",55,"F","employee","sportsman","45-59","+2/day","escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","slimming","exciting","No.relaxing","No.effect on health"
"79","Not.breakfast","tea time","Not.evening","lunch","Not.dinner","Not.always","Not.home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","sugar","tea bag","tea shop","p_variable",76,"F","non-worker","sportsman","+60","1/day","Not.escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","exciting","No.relaxing","No.effect on health"
"80","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","resto","pub","Earl Grey","alone","No.sugar","tea bag+unpackaged","chain store","p_branded",22,"F","student","sportsman","15-24","1/day","Not.escape-exoticism","Not.spirituality","healthy","diuretic","Not.friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"81","Not.breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","black","alone","No.sugar","tea bag","chain store","p_upscale",50,"F","middle","sportsman","45-59","+2/day","escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","slimming","exciting","relaxing","No.effect on health"
"82","Not.breakfast","tea time","evening","Not.lunch","Not.dinner","Not.always","Not.home","Not.work","tearoom","Not.friends","resto","Not.pub","Earl Grey","alone","sugar","unpackaged","chain store","p_private label",25,"F","student","sportsman","25-34","1 to 2/week","Not.escape-exoticism","Not.spirituality","Not.healthy","diuretic","friendliness","iron absorption","Not.feminine","sophisticated","No.slimming","exciting","relaxing","No.effect on health"
"83","Not.breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","always","home","work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","milk","sugar","tea bag","chain store+tea shop","p_upscale",44,"F","other worker","sportsman","35-44","1/day","Not.escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","No.exciting","No.relaxing","No.effect on health"
"84","Not.breakfast","tea time","Not.evening","lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_variable",19,"F","student","Not.sportsman","15-24","3 to 6/week","Not.escape-exoticism","Not.spirituality","Not.healthy","diuretic","friendliness","iron absorption","Not.feminine","Not.sophisticated","No.slimming","exciting","No.relaxing","No.effect on health"
"85","breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","lemon","sugar","tea bag","chain store","p_private label",20,"F","student","sportsman","15-24","3 to 6/week","escape-exoticism","spirituality","Not.healthy","diuretic","Not.friendliness","iron absorption","feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"86","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","always","home","work","Not.tearoom","friends","Not.resto","pub","Earl Grey","milk","sugar","tea bag","chain store","p_unknown",19,"F","student","sportsman","15-24","3 to 6/week","escape-exoticism","spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"87","breakfast","tea time","evening","lunch","Not.dinner","always","home","work","tearoom","friends","Not.resto","pub","Earl Grey","alone","sugar","tea bag+unpackaged","chain store+tea shop","p_upscale",19,"F","student","sportsman","15-24","+2/day","Not.escape-exoticism","spirituality","healthy","Not.diuretic","friendliness","iron absorption","feminine","sophisticated","No.slimming","exciting","relaxing","No.effect on health"
"88","Not.breakfast","tea time","evening","lunch","Not.dinner","always","home","work","Not.tearoom","friends","resto","Not.pub","Earl Grey","milk","sugar","tea bag","chain store","p_private label",17,"F","student","Not.sportsman","15-24","1 to 2/week","escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"89","breakfast","Not.tea time","Not.evening","lunch","Not.dinner","always","home","work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","milk","No.sugar","tea bag","chain store+tea shop","p_variable",51,"M","senior","sportsman","45-59","1/day","escape-exoticism","spirituality","healthy","diuretic","Not.friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","exciting","No.relaxing","No.effect on health"
"90","Not.breakfast","tea time","evening","Not.lunch","Not.dinner","always","home","Not.work","Not.tearoom","friends","resto","Not.pub","Earl Grey","alone","sugar","tea bag+unpackaged","chain store","p_unknown",50,"M","senior","sportsman","45-59","1 to 2/week","escape-exoticism","spirituality","Not.healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","No.relaxing","No.effect on health"
"91","Not.breakfast","tea time","evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","resto","Not.pub","black","milk","sugar","tea bag+unpackaged","chain store","p_branded",20,"M","student","sportsman","15-24","1/day","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","exciting","relaxing","No.effect on health"
"92","Not.breakfast","Not.tea time","Not.evening","lunch","Not.dinner","Not.always","Not.home","work","Not.tearoom","Not.friends","resto","Not.pub","Earl Grey","alone","sugar","tea bag+unpackaged","chain store","p_variable",25,"M","senior","sportsman","25-34","1 to 2/week","Not.escape-exoticism","Not.spirituality","Not.healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","exciting","No.relaxing","No.effect on health"
"93","breakfast","tea time","evening","Not.lunch","Not.dinner","always","home","Not.work","Not.tearoom","friends","resto","Not.pub","black","milk","No.sugar","tea bag","chain store","p_upscale",78,"M","non-worker","Not.sportsman","+60","+2/day","Not.escape-exoticism","spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"94","Not.breakfast","Not.tea time","evening","Not.lunch","Not.dinner","Not.always","Not.home","Not.work","tearoom","friends","resto","Not.pub","Earl Grey","alone","No.sugar","unpackaged","chain store","p_upscale",49,"M","senior","sportsman","45-59","1 to 2/week","escape-exoticism","Not.spirituality","Not.healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","No.relaxing","No.effect on health"
"95","Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","sugar","unpackaged","tea shop","p_upscale",42,"M","other worker","Not.sportsman","35-44","1 to 2/week","Not.escape-exoticism","spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"96","breakfast","Not.tea time","evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","resto","Not.pub","black","milk","sugar","tea bag+unpackaged","chain store","p_variable",32,"M","other worker","sportsman","25-34","+2/day","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"97","breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","milk","sugar","tea bag","chain store","p_branded",20,"M","employee","sportsman","15-24","1/day","Not.escape-exoticism","Not.spirituality","healthy","Not.diuretic","Not.friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"98","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_variable",35,"M","middle","Not.sportsman","35-44","+2/day","Not.escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"99","breakfast","tea time","evening","lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","resto","Not.pub","black","milk","sugar","tea bag+unpackaged","chain store+tea shop","p_variable",33,"M","senior","sportsman","25-34","+2/day","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"100","Not.breakfast","tea time","evening","Not.lunch","Not.dinner","Not.always","home","work","tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","unpackaged","tea shop","p_upscale",56,"M","senior","Not.sportsman","45-59","1/day","escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"101","Not.breakfast","Not.tea time","evening","lunch","Not.dinner","Not.always","home","Not.work","tearoom","friends","resto","pub","Earl Grey","alone","sugar","tea bag","chain store","p_variable",33,"F","non-worker","sportsman","25-34","+2/day","Not.escape-exoticism","spirituality","Not.healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","exciting","relaxing","No.effect on health"
"102","Not.breakfast","Not.tea time","evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","green","alone","sugar","tea bag+unpackaged","chain store","p_branded",29,"M","non-worker","sportsman","25-34","1/day","escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"103","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","always","home","work","tearoom","friends","Not.resto","Not.pub","Earl Grey","milk","sugar","tea bag+unpackaged","chain store+tea shop","p_branded",43,"F","middle","Not.sportsman","35-44","+2/day","Not.escape-exoticism","spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"104","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","milk","sugar","tea bag","chain store","p_branded",22,"F","student","sportsman","15-24","+2/day","escape-exoticism","Not.spirituality","Not.healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","exciting","No.relaxing","No.effect on health"
"105","breakfast","Not.tea time","evening","Not.lunch","Not.dinner","always","home","Not.work","Not.tearoom","friends","Not.resto","pub","Earl Grey","alone","sugar","tea bag","chain store","p_cheap",20,"F","employee","Not.sportsman","15-24","+2/day","escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","Not.sophisticated","slimming","exciting","relaxing","No.effect on health"
"106","Not.breakfast","tea time","evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","resto","Not.pub","Earl Grey","alone","sugar","tea bag","chain store","p_branded",27,"M","student","Not.sportsman","25-34","+2/day","escape-exoticism","Not.spirituality","Not.healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"107","Not.breakfast","tea time","evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","resto","Not.pub","Earl Grey","alone","sugar","tea bag","chain store","p_branded",22,"F","student","Not.sportsman","15-24","+2/day","escape-exoticism","Not.spirituality","Not.healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"108","Not.breakfast","tea time","evening","Not.lunch","Not.dinner","always","home","work","tearoom","friends","resto","pub","Earl Grey","alone","sugar","tea bag+unpackaged","chain store","p_branded",23,"F","student","Not.sportsman","15-24","1/day","escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"109","Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store+tea shop","p_branded",46,"F","workman","sportsman","45-59","1/day","escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","relaxing","effect on health"
"110","Not.breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","always","home","work","Not.tearoom","friends","Not.resto","pub","Earl Grey","alone","No.sugar","tea bag+unpackaged","tea shop","p_variable",35,"F","senior","sportsman","35-44","+2/day","escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","slimming","No.exciting","No.relaxing","effect on health"
"111","breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","lemon","No.sugar","tea bag","chain store","p_branded",28,"F","other worker","Not.sportsman","25-34","1/day","escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","iron absorption","Not.feminine","sophisticated","No.slimming","exciting","relaxing","No.effect on health"
"112","Not.breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag+unpackaged","chain store+tea shop","p_variable",20,"F","student","Not.sportsman","15-24","+2/day","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"113","Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","alone","sugar","tea bag","chain store+tea shop","p_upscale",71,"M","non-worker","Not.sportsman","+60","1/day","escape-exoticism","Not.spirituality","Not.healthy","diuretic","Not.friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","effect on health"
"114","Not.breakfast","Not.tea time","evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","resto","pub","Earl Grey","alone","sugar","tea bag","chain store","p_private label",28,"M","middle","Not.sportsman","25-34","+2/day","Not.escape-exoticism","spirituality","Not.healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","exciting","No.relaxing","No.effect on health"
"115","breakfast","Not.tea time","evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","sugar","tea bag","chain store","p_branded",23,"F","student","sportsman","15-24","+2/day","Not.escape-exoticism","Not.spirituality","Not.healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","relaxing","effect on health"
"116","Not.breakfast","Not.tea time","evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_unknown",21,"F","employee","Not.sportsman","15-24","1/day","escape-exoticism","spirituality","Not.healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","Not.sophisticated","No.slimming","No.exciting","No.relaxing","No.effect on health"
"117","Not.breakfast","Not.tea time","evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","lemon","sugar","tea bag","chain store","p_branded",19,"M","other worker","Not.sportsman","15-24","1 to 2/week","Not.escape-exoticism","spirituality","Not.healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","exciting","relaxing","effect on health"
"118","breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","Not.always","Not.home","work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","sugar","tea bag","chain store","p_variable",27,"M","employee","sportsman","25-34","1/day","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","Not.sophisticated","No.slimming","exciting","No.relaxing","No.effect on health"
"119","breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","always","home","work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag+unpackaged","chain store","p_branded",25,"M","student","Not.sportsman","25-34","+2/day","Not.escape-exoticism","spirituality","healthy","diuretic","friendliness","iron absorption","Not.feminine","sophisticated","No.slimming","exciting","relaxing","No.effect on health"
"120","Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store+tea shop","p_upscale",71,"F","non-worker","sportsman","+60","1/day","escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","effect on health"
"121","Not.breakfast","tea time","evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_branded",21,"F","student","sportsman","15-24","1/day","escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","exciting","No.relaxing","No.effect on health"
"122","breakfast","tea time","evening","Not.lunch","Not.dinner","always","home","Not.work","tearoom","friends","Not.resto","pub","Earl Grey","lemon","sugar","tea bag+unpackaged","chain store+tea shop","p_branded",23,"F","employee","Not.sportsman","15-24","+2/day","escape-exoticism","spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"123","Not.breakfast","Not.tea time","evening","Not.lunch","Not.dinner","always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","sugar","tea bag","chain store","p_branded",22,"M","student","sportsman","15-24","3 to 6/week","Not.escape-exoticism","Not.spirituality","Not.healthy","Not.diuretic","Not.friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","exciting","relaxing","effect on health"
"124","Not.breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","sugar","tea bag","chain store","p_branded",22,"M","non-worker","Not.sportsman","15-24","1 to 2/week","escape-exoticism","spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","exciting","relaxing","No.effect on health"
"125","Not.breakfast","tea time","evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","resto","pub","Earl Grey","milk","sugar","tea bag","chain store","p_branded",23,"F","student","Not.sportsman","15-24","+2/day","Not.escape-exoticism","Not.spirituality","Not.healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","relaxing","effect on health"
"126","Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","sugar","tea bag","chain store","p_private label",21,"F","student","sportsman","15-24","1 to 2/week","Not.escape-exoticism","spirituality","Not.healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"127","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","resto","Not.pub","black","other","No.sugar","tea bag+unpackaged","chain store+tea shop","p_variable",42,"F","senior","Not.sportsman","35-44","+2/day","Not.escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","No.relaxing","No.effect on health"
"128","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","work","tearoom","friends","Not.resto","Not.pub","black","alone","No.sugar","tea bag+unpackaged","chain store","p_private label",23,"F","employee","Not.sportsman","15-24","1/day","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","exciting","relaxing","No.effect on health"
"129","Not.breakfast","tea time","evening","Not.lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_branded",52,"F","employee","Not.sportsman","45-59","1/day","Not.escape-exoticism","spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","slimming","exciting","relaxing","No.effect on health"
"130","Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","always","home","work","Not.tearoom","friends","resto","pub","Earl Grey","milk","No.sugar","tea bag","chain store","p_branded",54,"M","senior","Not.sportsman","45-59","1 to 2/week","escape-exoticism","Not.spirituality","Not.healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","slimming","exciting","No.relaxing","effect on health"
"131","breakfast","tea time","evening","Not.lunch","Not.dinner","always","home","work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_branded",33,"F","employee","Not.sportsman","25-34","1/day","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","exciting","No.relaxing","effect on health"
"132","breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","always","home","work","Not.tearoom","Not.friends","resto","Not.pub","black","alone","No.sugar","tea bag","chain store","p_branded",37,"M","senior","Not.sportsman","35-44","1/day","Not.escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","iron absorption","Not.feminine","sophisticated","No.slimming","exciting","No.relaxing","No.effect on health"
"133","Not.breakfast","Not.tea time","evening","Not.lunch","Not.dinner","always","home","work","Not.tearoom","friends","resto","Not.pub","Earl Grey","lemon","sugar","tea bag+unpackaged","chain store+tea shop","p_variable",29,"M","student","sportsman","25-34","1/day","Not.escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","effect on health"
"134","Not.breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","black","lemon","sugar","tea bag","chain store","p_private label",66,"M","non-worker","Not.sportsman","+60","3 to 6/week","escape-exoticism","Not.spirituality","healthy","diuretic","Not.friendliness","Not.iron absorption","feminine","sophisticated","slimming","exciting","No.relaxing","effect on health"
"135","Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","always","home","work","tearoom","friends","Not.resto","pub","black","other","No.sugar","tea bag","chain store","p_branded",47,"F","middle","sportsman","45-59","+2/day","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"136","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","work","tearoom","friends","Not.resto","pub","Earl Grey","lemon","sugar","tea bag","chain store+tea shop","p_branded",45,"F","employee","Not.sportsman","45-59","+2/day","Not.escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","Not.sophisticated","No.slimming","exciting","No.relaxing","No.effect on health"
"137","Not.breakfast","Not.tea time","evening","Not.lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","lemon","sugar","tea bag","chain store","p_private label",54,"F","employee","Not.sportsman","45-59","1/day","escape-exoticism","spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","slimming","exciting","relaxing","No.effect on health"
"138","breakfast","tea time","evening","lunch","Not.dinner","always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_variable",19,"F","student","sportsman","15-24","+2/day","Not.escape-exoticism","spirituality","healthy","diuretic","friendliness","iron absorption","feminine","sophisticated","slimming","No.exciting","relaxing","No.effect on health"
